# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.014118805527687073e-02 1.526612997055053711e+00 4.278525412082672119e-01 2.153896726667881012e-02 1.526612997055053711e+00 4.278525412082672119e-01
1.000000000000000000e+03 1.199912372976541519e-02 5.743591859936714172e-02 1.185428872704505920e-01 8.157028816640377045e-03 5.743591859936714172e-02 1.185428872704505920e-01
2.000000000000000000e+03 6.155908573418855667e-03 3.729812055826187134e-02 2.642829716205596924e-02 3.378569381311535835e-03 3.729812055826187134e-02 2.642829716205596924e-02
3.000000000000000000e+03 3.448892384767532349e-03 2.861824631690979004e-02 1.566849648952484131e-02 1.745310728438198566e-03 2.861824631690979004e-02 1.566849648952484131e-02
4.000000000000000000e+03 2.868078183382749557e-03 2.523952722549438477e-02 1.263554953038692474e-02 1.496051088906824589e-03 2.523952722549438477e-02 1.263554953038692474e-02
5.000000000000000000e+03 2.361563732847571373e-03 2.293759211897850037e-02 1.073155831545591354e-02 1.168592250905930996e-03 2.293759211897850037e-02 1.073155831545591354e-02
6.000000000000000000e+03 2.343993866816163063e-03 2.085255645215511322e-02 9.791997261345386505e-03 1.254392089322209358e-03 2.085255645215511322e-02 9.791997261345386505e-03
7.000000000000000000e+03 2.279736567288637161e-03 1.961441710591316223e-02 9.104393422603607178e-03 1.274160225875675678e-03 1.961441710591316223e-02 9.104393422603607178e-03
8.000000000000000000e+03 2.115509239956736565e-03 1.864612102508544922e-02 8.650653995573520660e-03 1.185966073535382748e-03 1.864612102508544922e-02 8.650653995573520660e-03
9.000000000000000000e+03 1.891506835818290710e-03 1.784410700201988220e-02 8.281193673610687256e-03 1.053845626302063465e-03 1.784410700201988220e-02 8.281193673610687256e-03
1.000000000000000000e+04 1.725444337353110313e-03 1.711759343743324280e-02 7.987291552126407623e-03 9.579636971466243267e-04 1.711759343743324280e-02 7.987291552126407623e-03
1.100000000000000000e+04 1.632947009056806564e-03 1.656615547835826874e-02 7.658713962882757187e-03 9.181997156701982021e-04 1.656615547835826874e-02 7.658713962882757187e-03
1.200000000000000000e+04 1.598677481524646282e-03 1.586754247546195984e-02 7.521172054111957550e-03 9.100280003622174263e-04 1.586754247546195984e-02 7.521172054111957550e-03
1.300000000000000000e+04 1.094524096697568893e-02 1.695684343576431274e-02 6.339819170534610748e-03 5.114093422889709473e-03 1.695684343576431274e-02 6.339819170534610748e-03
1.400000000000000000e+04 1.503131701610982418e-03 1.477493625134229660e-02 7.055080030113458633e-03 8.872441831044852734e-04 1.477493625134229660e-02 7.055080030113458633e-03
1.500000000000000000e+04 1.450698822736740112e-03 1.425694208592176437e-02 6.826956756412982941e-03 8.701509796082973480e-04 1.425694208592176437e-02 6.826956756412982941e-03
1.500000000000000000e+04 1.450698822736740112e-03 1.425694208592176437e-02 6.826956756412982941e-03 8.701509796082973480e-04 1.425694208592176437e-02 6.826956756412982941e-03
1.600000000000000000e+04 1.090385369025170803e-03 5.792136071249842644e-04 6.829407648183405399e-04 1.090385369025170803e-03 5.792136071249842644e-04 6.829407648183405399e-04
1.700000000000000000e+04 3.850668435916304588e-04 2.043824642896652222e-04 2.080712292809039354e-04 3.850668435916304588e-04 2.043824642896652222e-04 2.080712292809039354e-04
1.800000000000000000e+04 2.812563907355070114e-04 6.127215601736679673e-05 1.458016631659120321e-04 2.812563907355070114e-04 6.127215601736679673e-05 1.458016631659120321e-04
1.828000000000000000e+04 2.321786596439778805e-04 4.515935870585963130e-05 1.311520463787019253e-04 2.460910181980580091e-04 4.515935870585963130e-05 1.311520463787019253e-04
